"","wage","lnw","widowed","divorced","separated","nevermarried","married","weight","female","lhs","hsg","sc","cg","ad","mw","so","we","ne","exp1","exp2","exp3","exp4","occ","occ2","ind","ind2"
"1",10.989010989011,2.39689577246529,0,0,0,0,1,690.05,0,0,0,1,0,0,0,0,0,1,26,6.76,17.576,45.6976,"9130","22","490","2"
"2",15.8653846153846,2.76413966775325,0,0,0,0,1,785.82,1,0,1,0,0,0,0,0,0,1,26,6.76,17.576,45.6976,"930","2","9380","22"
"3",36.0576923076923,3.58512021982308,0,0,0,0,1,785.82,0,0,0,1,0,0,0,0,0,1,38,14.44,54.872,208.5136,"430","1","9470","22"
"4",14.4230769230769,2.66882948794893,0,1,0,0,0,429.88,0,0,1,0,0,0,0,0,0,1,24,5.76,13.824,33.1776,"1e+05","17","2280","5"
"5",27.7777777777778,3.32423634052603,0,0,0,0,1,840.38,0,0,0,0,1,0,0,0,0,1,24,5.76,13.824,33.1776,"230","1","7890","17"
"6",24.0384615384615,3.17965511171492,0,0,0,0,1,840.38,1,0,1,0,0,0,0,0,0,1,36,12.96,46.656,167.9616,"630","2","2290","5"
"7",25.9615384615385,3.25661615285105,0,0,0,0,1,466,0,0,0,1,0,0,0,0,0,1,19,3.61,6.859,13.0321,"3850","12","9470","22"
"8",9.61538461538461,2.26336437984076,0,0,0,0,1,856.43,1,0,1,0,0,0,0,0,0,1,33,10.89,35.937,118.5921,"4760","16","5380","9"
"9",22.1153846153846,3.09627350277587,0,1,0,0,0,904.05,1,0,0,0,1,0,0,0,0,1,17,2.89,4.913,8.3521,"3255","10","8090","18"
"10",9.61538461538461,2.26336437984076,0,0,0,1,0,1217.98,1,0,0,0,1,0,0,0,0,1,7,0.49,0.343,0.2401,"3600","11","8370","18"
"11",17.0940170940171,2.83872852474433,0,1,0,0,0,1077.03,1,0,0,1,0,0,0,0,0,1,42.5,18.0625,76.765625,326.25390625,"3500","10","8190","18"
"12",48.0769230769231,3.87280229227486,0,0,0,1,0,1077.03,0,0,0,0,1,0,0,0,0,1,31,9.61,29.791,92.3521,"3050","10","5070","9"
"13",13.4615384615385,2.59983661646198,0,0,0,0,1,1124.51,1,0,0,1,0,0,0,0,0,1,37,13.69,50.653,187.4161,"5310","17","8090","18"
