schoolid,intervention,achievement_score,success_expect,ethnicity,gender,frst_in_family,school_urbanicity,school_mindset,school_achievement,school_ethnic_minority,school_poverty,school_size
76,1,0.2773586221959551,6,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.4496463935390407,4,12,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.769703440352199,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.12176270274173215,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.5261466461142774,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.00960732339848324,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.7430329196802923,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.9532942616291004,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,2.3677795136271187,6,5,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.2644091105993496,6,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.5585651911167572,6,5,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-2.0547509821956753,4,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.24071538057697991,6,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.5391267477171304,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.029151485522634944,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.24989585792926916,6,1,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.060320947665307455,4,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.24523045899936866,6,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.6108029104500056,6,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.5558404833099155,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,2.22271556487665,7,5,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.07516695451320358,5,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.31419241217809324,5,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.16370355405488826,5,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.2095314860089044,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.5499233260074493,6,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.632926037990199,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.853921533182822,6,12,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.4471281470917828,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.1874563553647837,5,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.11576494317064387,5,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-1.395034491328394,3,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.0588272597008583,5,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.3823722858528815,5,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-1.9199143394692764,3,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.3705049294877245,6,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.6130787781085852,4,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.27300255354587194,5,2,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.2970697904239424,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.7823119044005058,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.14522996226541038,5,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.2909518863913865,6,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.06477007817008507,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.13686990247904404,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.3934217823513919,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.008107133580703,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.102684013200241,6,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.34921883379830565,5,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.3141638057289633,7,1,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.39672837315094744,5,4,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.0978027018600853,5,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.5651123469820004,5,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.155924198223322,6,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.20683429311434232,6,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.5905339423849375,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.0601278033546232,5,1,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,2.2893101708301837,5,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.4568305339242044,5,5,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.9443487145579536,3,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.144393478104543,6,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,1.941076886623989,7,4,2,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,-0.1947954864199799,4,4,1,0,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.753741898373472,7,1,1,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
76,1,0.14212160746588642,6,4,2,1,4,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.42675665264691903
75,1,0.46806322643183856,6,2,1,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,-0.022177560597407088,6,2,1,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,1.0267152696340636,6,2,2,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,1.6800558582625909,6,2,2,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,0.25952370113840806,5,14,2,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,0.5162404798590563,6,2,2,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,0.6205637343725224,5,2,2,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,0.704263204639465,5,2,1,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,-0.3813158428597986,3,2,2,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,2.082427488320271,6,2,1,1,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
75,1,1.125322388888297,5,14,1,0,3,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473
